File,cSpell message,Result type,Template,Issue,notes
_guide-pages/how-to-set-reminders-in-slack.md,"""laboris"": Unknown word.",False Positive,lorum ipsum,,
_guide-pages/how-to-set-reminders-in-slack.md,"""aliquip"": Unknown word.",False Positive,ignoreWords,,
_guide-pages/how-to-set-reminders-in-slack.md,"""commodo"": Unknown word.",False Positive,lorum ipsum,,
_guide-pages/how-to-set-reminders-in-slack.md,"""consequat"": Unknown word.",False Positive,lorum ipsum,,
_guide-pages/how-to-set-reminders-in-slack.md,"""Duis"": Unknown word.",False Positive,lorum ipsum,,
_guide-pages/how-to-set-reminders-in-slack.md,"""aute"": Unknown word.",False Positive,ignoreWords,,
_guide-pages/how-to-set-reminders-in-slack.md,"""irure"": Unknown word.",False Positive,lorum ipsum,,
_guide-pages/how-to-set-reminders-in-slack.md,"""reprehenderit"": Unknown word.",False Positive,lorum ipsum,,
_guide-pages/how-to-set-reminders-in-slack.md,"""voluptate"": Unknown word.",False Positive,lorum ipsum,,
_guide-pages/how-to-set-reminders-in-slack.md,"""velit"": Unknown word.",False Positive,lorum ipsum,,
_guide-pages/how-to-set-reminders-in-slack.md,"""cillum"": Unknown word.",False Positive,lorum ipsum,,
_guide-pages/how-to-set-reminders-in-slack.md,"""dolore"": Unknown word.",False Positive,lorum ipsum,,
_guide-pages/how-to-set-reminders-in-slack.md,"""fugiat"": Unknown word.",False Positive,lorum ipsum,,
_guide-pages/how-to-set-reminders-in-slack.md,"""nulla"": Unknown word.",False Positive,lorum ipsum,,
_guide-pages/how-to-set-reminders-in-slack.md,"""pariatur"": Unknown word.",False Positive,lorum ipsum,,
_guide-pages/how-to-set-reminders-in-slack.md,"""Excepteur"": Unknown word.",False Positive,lorum ipsum,,
_guide-pages/how-to-set-reminders-in-slack.md,"""sint"": Unknown word.",False Positive,lorum ipsum,,
_guide-pages/how-to-set-reminders-in-slack.md,"""occaecat"": Unknown word.",False Positive,lorum ipsum,,
_guide-pages/how-to-set-reminders-in-slack.md,"""cupidatat"": Unknown word.",False Positive,lorum ipsum,,
_guide-pages/how-to-set-reminders-in-slack.md,"""proident"": Unknown word.",False Positive,lorum ipsum,,
_guide-pages/how-to-set-reminders-in-slack.md,"""sunt"": Unknown word.",False Positive,lorum ipsum,,
_guide-pages/how-to-set-reminders-in-slack.md,"""officia"": Unknown word.",False Positive,lorum ipsum,,
_guide-pages/how-to-set-reminders-in-slack.md,"""deserunt"": Unknown word.",False Positive,lorum ipsum,,
_guide-pages/how-to-set-reminders-in-slack.md,"""mollit"": Unknown word.",False Positive,lorum ipsum,,
_guide-pages/how-to-set-reminders-in-slack.md,"""laborum"": Unknown word.",False Positive,lorum ipsum,,
_guide-pages/how-to-set-reminders-in-slack.md,"""Studnicka"": Unknown word.",False Positive,ignoreWords,,
_guide-pages/how-to-set-reminders-in-slack.md,"""Saasha"": Unknown word.",False Positive,ignoreWords,,
_guide-pages/how-to-set-reminders-in-slack.md,"""Gilkes"": Unknown word.",False Positive,lorum ipsum,,
_guide-pages/how-to-set-reminders-in-slack.md,"""Chiong"": Unknown word.",False Positive,ignoreWords,,
_guide-pages/how-to-set-reminders-in-slack.md,"""Benipayo"": Unknown word.",False Positive,ignoreWords,,
_guide-pages/how-to-set-reminders-in-slack.md,"""Bukola"": Unknown word.",False Positive,ignoreWords,,
_guide-pages/how-to-set-reminders-in-slack.md,"""Ogunleye"": Unknown word.",False Positive,ignoreWords,,
_guide-pages/how-to-set-reminders-in-slack.md,"""Studnicka"": Unknown word.",False Positive,ignoreWords,,
_guide-pages/how-to-set-reminders-in-slack.md,"""Saasha"": Unknown word.",False Positive,ignoreWords,,
_guide-pages/how-to-set-reminders-in-slack.md,"""Gilkes"": Unknown word.",False Positive,lorum ipsum,,
_guide-pages/how-to-set-reminders-in-slack.md,"""Oliva"": Unknown word.",False Positive,ignoreWords,,
_guide-pages/how-to-set-reminders-in-slack.md,"""Chiong"": Unknown word.",False Positive,ignoreWords,,
_guide-pages/how-to-set-reminders-in-slack.md,"""Benipayo"": Unknown word.",False Positive,ignoreWords,,
_guide-pages/how-to-set-reminders-in-slack.md,"""Bukola"": Unknown word.",False Positive,ignoreWords,,
_guide-pages/how-to-set-reminders-in-slack.md,"""Ogunleye"": Unknown word.",False Positive,ignoreWords,,
_guide-pages/responsible-use-of-images-on-opensource-projects.html,"""Nedivi"": Unknown word. [ln 11]",False Positive,ignoreWords,,
_guide-pages/showing-civictech-experience-on-linkedin.html,"""Ibraheem"": Unknown word. [ln 12]",False Positive,ignoreWords,,
